"MHDM"	"MSVT"	"HPVT"	"LVT"	"GC"
"CF.11510"	"V20132"	"0,023"	""	""
"CF.11510"	"V20056"	"0,015"	""	""
"CF.11510"	"V20144"	"0,3"	""	""
"CF.11510"	"V20306"	"0,3"	""	""
"CF.11510"	"V20145"	"4"	""	""
"CF.11510"	"V20296"	"1"	""	""
"CF.11510"	"V29999"	"10"	""	""
"CF.11510"	"N28408"	"4,93"	""	""
"CF.11510"	"N04407"	"12,31"	""	""
"CF.11510"	"M201.0021"	"0,46"	""	""
"CF.11510"	"M9999"	"10"	""	""
"CF.11520"	"V20342"	"5"	""	""
"CF.11520"	"V20132"	"0,023"	""	""
"CF.11520"	"V20056"	"0,015"	""	""
"CF.11520"	"V20144"	"0,3"	""	""
"CF.11520"	"V20306"	"0,3"	""	""
"CF.11520"	"V20145"	"4"	""	""
"CF.11520"	"V20296"	"1"	""	""
"CF.11520"	"V29999"	"10"	""	""
"CF.11520"	"N28408"	"4,85"	""	""
"CF.11520"	"N04407"	"12,1"	""	""
"CF.11520"	"M201.0022"	"0,39"	""	""
"CF.11520"	"M9999"	"10"	""	""
"CF.11610"	"V20342"	"3"	""	""
"CF.11610"	"V20132"	"0,01"	""	""
"CF.11610"	"V20056"	"0,006"	""	""
"CF.11610"	"V20144"	"0,1"	""	""
"CF.11610"	"V20306"	"0,2"	""	""
"CF.11610"	"V20296"	"1"	""	""
"CF.11610"	"V29999"	"10"	""	""
"CF.11610"	"N28408"	"1,81"	""	""
"CF.11610"	"N04407"	"4,51"	""	""
"CF.11610"	"M201.0021"	"0,26"	""	""
"CF.11610"	"M9999"	"10"	""	""
"CF.11620"	"V20342"	"3"	""	""
"CF.11620"	"V20132"	"0,01"	""	""
"CF.11620"	"V20056"	"0,006"	""	""
"CF.11620"	"V20144"	"0,1"	""	""
"CF.11620"	"V20306"	"0,2"	""	""
"CF.11620"	"V20296"	"1"	""	""
"CF.11620"	"V29999"	"10"	""	""
"CF.11620"	"N28408"	"1,76"	""	""
"CF.11620"	"N04407"	"4,39"	""	""
"CF.11620"	"M201.0022"	"0,16"	""	""
"CF.11620"	"M9999"	"10"	""	""
"CF.21110"	"V20342"	"13"	""	""
"CF.21110"	"V20132"	"0,04"	""	""
"CF.21110"	"V20056"	"0,026"	""	""
"CF.21110"	"V20144"	"0,1"	""	""
"CF.21110"	"V20306a"	"0,05"	""	""
"CF.21110"	"V20296"	"0,5"	""	""
"CF.21110"	"V29999"	"10"	""	""
"CF.21110"	"N28408"	"0,58"	""	""
"CF.21110"	"N04407"	"1,48"	""	""
"CF.21110"	"M201.0021"	"0,15"	""	""
"CF.21110"	"M9999"	"10"	""	""
"CF.21120"	"V20342"	"13"	""	""
"CF.21120"	"V20132"	"0,04"	""	""
"CF.21120"	"V20056"	"0,026"	""	""
"CF.21120"	"V20144"	"0,1"	""	""
"CF.21120"	"V20306a"	"0,05"	""	""
"CF.21120"	"V20296"	"0,5"	""	""
"CF.21120"	"V29999"	"10"	""	""
"CF.21120"	"N28408"	"0,79"	""	""
"CF.21120"	"N04407"	"1,97"	""	""
"CF.21120"	"M201.0021"	"0,17"	""	""
"CF.21120"	"M9999"	"10"	""	""
"CF.21130"	"V20342"	"13"	""	""
"CF.21130"	"V20132"	"0,04"	""	""
"CF.21130"	"V20056"	"0,026"	""	""
"CF.21130"	"V20144"	"0,1"	""	""
"CF.21130"	"V20306a"	"0,05"	""	""
"CF.21130"	"V20296"	"0,5"	""	""
"CF.21130"	"V29999"	"10"	""	""
"CF.21130"	"N28408"	"1,01"	""	""
"CF.21130"	"N04407"	"2,47"	""	""
"CF.21130"	"M201.0021"	"0,19"	""	""
"CF.21130"	"M9999"	"10"	""	""
"CF.21140"	"V20342"	"13"	""	""
"CF.21140"	"V20132"	"0,04"	""	""
"CF.21140"	"V20056"	"0,026"	""	""
"CF.21140"	"V20144"	"0,1"	""	""
"CF.21140"	"V20306a"	"0,05"	""	""
"CF.21140"	"V20296"	"0,5"	""	""
"CF.21140"	"V29999"	"10"	""	""
"CF.21140"	"N28408"	"1,16"	""	""
"CF.21140"	"N04407"	"3,08"	""	""
"CF.21140"	"M201.0021"	"0,21"	""	""
"CF.21140"	"M9999"	"10"	""	""
"CF.21150"	"V20342"	"13"	""	""
"CF.21150"	"V20132"	"0,04"	""	""
"CF.21150"	"V20056"	"0,026"	""	""
"CF.21150"	"V20144"	"0,1"	""	""
"CF.21150"	"V20306a"	"0,05"	""	""
"CF.21150"	"V20296"	"0,5"	""	""
"CF.21150"	"V29999"	"10"	""	""
"CF.21150"	"N28408"	"1,44"	""	""
"CF.21150"	"N04407"	"3,7"	""	""
"CF.21150"	"M201.0021"	"0,25"	""	""
"CF.21150"	"M9999"	"10"	""	""
"CF.21160"	"V20342"	"13"	""	""
"CF.21160"	"V20132"	"0,04"	""	""
"CF.21160"	"V20056"	"0,026"	""	""
"CF.21160"	"V20144"	"0,1"	""	""
"CF.21160"	"V20306a"	"0,05"	""	""
"CF.21160"	"V20296"	"0,5"	""	""
"CF.21160"	"V29999"	"10"	""	""
"CF.21160"	"N28408"	"1,61"	""	""
"CF.21160"	"N04407"	"4,53"	""	""
"CF.21160"	"M201.0021"	"0,32"	""	""
"CF.21160"	"M9999"	"10"	""	""
"CG.11110"	"V20166a"	"0,0025"	""	""
"CG.11110"	"V20342"	"4"	""	""
"CG.11110"	"V20132"	"0,012"	""	""
"CG.11110"	"V20056"	"0,007"	""	""
"CG.11110"	"V20143"	"0,06"	""	""
"CG.11110"	"V29999"	"10"	""	""
"CG.11110"	"N28408"	"1,28"	""	""
"CG.11110"	"N04407"	"3,57"	""	""
"CG.11110"	"M201.0020"	"0,38"	""	""
"CG.11110"	"M9999"	"2"	""	""
"CG.11120"	"V20166a"	"0,0025"	""	""
"CG.11120"	"V20342"	"4"	""	""
"CG.11120"	"V20132"	"0,012"	""	""
"CG.11120"	"V20056"	"0,007"	""	""
"CG.11120"	"V20143"	"0,06"	""	""
"CG.11120"	"V29999"	"10"	""	""
"CG.11120"	"N28408"	"1,52"	""	""
"CG.11120"	"N04407"	"4,23"	""	""
"CG.11120"	"M201.0020"	"0,41"	""	""
"CG.11120"	"M9999"	"2"	""	""
"CG.11130"	"V20166a"	"0,0025"	""	""
"CG.11130"	"V20342"	"4"	""	""
"CG.11130"	"V20132"	"0,012"	""	""
"CG.11130"	"V20056"	"0,007"	""	""
"CG.11130"	"V20143"	"0,06"	""	""
"CG.11130"	"V29999"	"10"	""	""
"CG.11130"	"N28408"	"2,02"	""	""
"CG.11130"	"N04407"	"5,56"	""	""
"CG.11130"	"M201.0020"	"0,45"	""	""
"CG.11130"	"M9999"	"2"	""	""
"CG.11140"	"V20166a"	"0,0025"	""	""
"CG.11140"	"V20342"	"4"	""	""
"CG.11140"	"V20132"	"0,012"	""	""
"CG.11140"	"V20056"	"0,007"	""	""
"CG.11140"	"V20143"	"0,06"	""	""
"CG.11140"	"V29999"	"10"	""	""
"CG.11140"	"N28408"	"2,83"	""	""
"CG.11140"	"N04407"	"7,85"	""	""
"CG.11140"	"M201.0020"	"0,71"	""	""
"CG.11140"	"M9999"	"2"	""	""
"CG.11150"	"V20166a"	"0,0025"	""	""
"CG.11150"	"V20342"	"4"	""	""
"CG.11150"	"V20132"	"0,012"	""	""
"CG.11150"	"V20056"	"0,007"	""	""
"CG.11150"	"V20143"	"0,06"	""	""
"CG.11150"	"V29999"	"10"	""	""
"CG.11150"	"N28408"	"4,06"	""	""
"CG.11150"	"N04407"	"11,29"	""	""
"CG.11150"	"M201.0020"	"1,13"	""	""
"CG.11150"	"M9999"	"2"	""	""
"CG.11210"	"V20166a"	"0,0015"	""	""
"CG.11210"	"V20342"	"2"	""	""
"CG.11210"	"V20132"	"0,006"	""	""
"CG.11210"	"V20056"	"0,0035"	""	""
"CG.11210"	"V20143"	"0,03"	""	""
"CG.11210"	"V29999"	"10"	""	""
"CG.11210"	"N28408"	"1,21"	""	""
"CG.11210"	"N04407"	"3,33"	""	""
"CG.11210"	"M201.0020"	"0,26"	""	""
"CG.11210"	"M9999"	"2"	""	""
"CG.11220"	"V20166a"	"0,0015"	""	""
"CG.11220"	"V20342"	"2"	""	""
"CG.11220"	"V20132"	"0,006"	""	""
"CG.11220"	"V20056"	"0,0035"	""	""
"CG.11220"	"V20143"	"0,03"	""	""
"CG.11220"	"V29999"	"10"	""	""
"CG.11220"	"N28408"	"1,39"	""	""
"CG.11220"	"N04407"	"3,84"	""	""
"CG.11220"	"M201.0020"	"0,32"	""	""
"CG.11220"	"M9999"	"2"	""	""
"CG.11230"	"V20166a"	"0,0015"	""	""
"CG.11230"	"V20342"	"2"	""	""
"CG.11230"	"V20132"	"0,006"	""	""
"CG.11230"	"V20056"	"0,0035"	""	""
"CG.11230"	"V20143"	"0,03"	""	""
"CG.11230"	"V29999"	"10"	""	""
"CG.11230"	"N28408"	"1,81"	""	""
"CG.11230"	"N04407"	"4,98"	""	""
"CG.11230"	"M201.0020"	"0,38"	""	""
"CG.11230"	"M9999"	"2"	""	""
"CG.11240"	"V20166a"	"0,0015"	""	""
"CG.11240"	"V20342"	"2"	""	""
"CG.11240"	"V20132"	"0,006"	""	""
"CG.11240"	"V20056"	"0,0035"	""	""
"CG.11240"	"V20143"	"0,03"	""	""
"CG.11240"	"V29999"	"10"	""	""
"CG.11240"	"N28408"	"2,43"	""	""
"CG.11240"	"N04407"	"6,72"	""	""
"CG.11240"	"M201.0020"	"0,6"	""	""
"CG.11240"	"M9999"	"2"	""	""
"CG.11250"	"V20166a"	"0,0015"	""	""
"CG.11250"	"V20342"	"2"	""	""
"CG.11250"	"V20132"	"0,006"	""	""
"CG.11250"	"V20056"	"0,0035"	""	""
"CG.11250"	"V20143"	"0,03"	""	""
"CG.11250"	"V29999"	"10"	""	""
"CG.11250"	"N28408"	"3,5"	""	""
"CG.11250"	"N04407"	"9,72"	""	""
"CG.11250"	"M201.0020"	"0,98"	""	""
"CG.11250"	"M9999"	"2"	""	""
"CG.11310"	"V20296"	"0,25"	""	""
"CG.11310"	"V29999"	"30"	""	""
"CG.11310"	"N28408"	"0,59"	""	""
"CG.11310"	"N04407"	"1,65"	""	""
"CG.11310"	"M201.0020"	"0,19"	""	""
"CG.11310"	"M9999"	"2"	""	""
"CG.11320"	"V20296"	"0,25"	""	""
"CG.11320"	"V29999"	"30"	""	""
"CG.11320"	"N28408"	"0,73"	""	""
"CG.11320"	"N04407"	"2,05"	""	""
"CG.11320"	"M201.0020"	"0,23"	""	""
"CG.11320"	"M9999"	"2"	""	""
"CG.11330"	"V20296"	"0,35"	""	""
"CG.11330"	"V29999"	"30"	""	""
"CG.11330"	"N28408"	"0,92"	""	""
"CG.11330"	"N04407"	"2,57"	""	""
"CG.11330"	"M201.0020"	"0,3"	""	""
"CG.11330"	"M9999"	"2"	""	""
"CG.11340"	"V20296"	"0,35"	""	""
"CG.11340"	"V29999"	"30"	""	""
"CG.11340"	"N28408"	"1,27"	""	""
"CG.11340"	"N04407"	"3,58"	""	""
"CG.11340"	"M201.0020"	"0,45"	""	""
"CG.11340"	"M9999"	"2"	""	""
"CG.11350"	"V20296"	"0,35"	""	""
"CG.11350"	"V29999"	"30"	""	""
"CG.11350"	"N28408"	"2,13"	""	""
"CG.11350"	"N04407"	"5,93"	""	""
"CG.11350"	"M201.0020"	"0,6"	""	""
"CG.11350"	"M9999"	"2"	""	""
"CH.11110"	"V20220"	"0,2"	""	""
"CH.11110"	"V20342"	"1"	""	""
"CH.11110"	"V20066"	"2"	""	""
"CH.11110"	"V20305"	"0,05"	""	""
"CH.11110"	"V29999"	"10"	""	""
"CH.11110"	"N28408"	"0,47"	""	""
"CH.11110"	"N04407"	"0,72"	""	""
"CH.11110"	"M201.0021"	"0,08"	""	""
"CH.11110"	"M201.0020"	"0,16"	""	""
"CH.11110"	"M9999"	"5"	""	""
"CH.11120"	"V20220"	"0,25"	""	""
"CH.11120"	"V20342"	"1"	""	""
"CH.11120"	"V20066"	"2,5"	""	""
"CH.11120"	"V20305"	"0,05"	""	""
"CH.11120"	"V29999"	"10"	""	""
"CH.11120"	"N28408"	"0,61"	""	""
"CH.11120"	"N04407"	"0,95"	""	""
"CH.11120"	"M201.0021"	"0,11"	""	""
"CH.11120"	"M201.0020"	"0,22"	""	""
"CH.11120"	"M9999"	"5"	""	""
"CH.11130"	"V20220"	"0,3"	""	""
"CH.11130"	"V20342"	"1,5"	""	""
"CH.11130"	"V20066"	"3"	""	""
"CH.11130"	"V20305"	"0,1"	""	""
"CH.11130"	"V29999"	"10"	""	""
"CH.11130"	"N28408"	"0,79"	""	""
"CH.11130"	"N04407"	"1,24"	""	""
"CH.11130"	"M201.0021"	"0,14"	""	""
"CH.11130"	"M201.0020"	"0,29"	""	""
"CH.11130"	"M9999"	"5"	""	""
"CH.11140"	"V20220"	"0,35"	""	""
"CH.11140"	"V20342"	"1,5"	""	""
"CH.11140"	"V20066"	"3,5"	""	""
"CH.11140"	"V20305"	"0,1"	""	""
"CH.11140"	"V29999"	"10"	""	""
"CH.11140"	"N28408"	"1,02"	""	""
"CH.11140"	"N04407"	"1,64"	""	""
"CH.11140"	"M201.0021"	"0,2"	""	""
"CH.11140"	"M201.0020"	"0,39"	""	""
"CH.11140"	"M9999"	"5"	""	""
"CH.11150"	"V20220"	"0,4"	""	""
"CH.11150"	"V20342"	"2"	""	""
"CH.11150"	"V20066"	"4"	""	""
"CH.11150"	"V20305"	"0,15"	""	""
"CH.11150"	"V29999"	"10"	""	""
"CH.11150"	"N28408"	"1,32"	""	""
"CH.11150"	"N04407"	"2,15"	""	""
"CH.11150"	"M201.0021"	"0,27"	""	""
"CH.11150"	"M201.0020"	"0,55"	""	""
"CH.11150"	"M9999"	"5"	""	""
"CH.11160"	"V20220"	"0,45"	""	""
"CH.11160"	"V20342"	"2"	""	""
"CH.11160"	"V20066"	"4,5"	""	""
"CH.11160"	"V20305"	"0,15"	""	""
"CH.11160"	"V29999"	"10"	""	""
"CH.11160"	"N28408"	"1,73"	""	""
"CH.11160"	"N04407"	"2,88"	""	""
"CH.11160"	"M201.0021"	"0,38"	""	""
"CH.11160"	"M201.0020"	"0,77"	""	""
"CH.11160"	"M9999"	"5"	""	""
"CH.11210"	"V20066"	"5"	""	""
"CH.11210"	"V20305"	"0,05"	""	""
"CH.11210"	"V29999"	"10"	""	""
"CH.11210"	"N28408"	"0,61"	""	""
"CH.11210"	"N04407"	"0,84"	""	""
"CH.11210"	"M201.0021"	"0,1"	""	""
"CH.11210"	"M201.0020"	"0,08"	""	""
"CH.11210"	"M9999"	"5"	""	""
"CH.11220"	"V20066"	"6"	""	""
"CH.11220"	"V20305"	"0,06"	""	""
"CH.11220"	"V29999"	"10"	""	""
"CH.11220"	"N28408"	"0,79"	""	""
"CH.11220"	"N04407"	"1,1"	""	""
"CH.11220"	"M201.0021"	"0,16"	""	""
"CH.11220"	"M201.0020"	"0,08"	""	""
"CH.11220"	"M9999"	"5"	""	""
"CH.11230"	"V20066"	"7"	""	""
"CH.11230"	"V20305"	"0,07"	""	""
"CH.11230"	"V29999"	"10"	""	""
"CH.11230"	"N28408"	"1,02"	""	""
"CH.11230"	"N04407"	"1,44"	""	""
"CH.11230"	"M201.0021"	"0,2"	""	""
"CH.11230"	"M201.0020"	"0,12"	""	""
"CH.11230"	"M9999"	"5"	""	""
"CH.11240"	"V20066"	"8"	""	""
"CH.11240"	"V20305"	"0,08"	""	""
"CH.11240"	"V29999"	"10"	""	""
"CH.11240"	"N28408"	"1,33"	""	""
"CH.11240"	"N04407"	"1,88"	""	""
"CH.11240"	"M201.0021"	"0,28"	""	""
"CH.11240"	"M201.0020"	"0,16"	""	""
"CH.11240"	"M9999"	"5"	""	""
"CH.11250"	"V20066"	"9"	""	""
"CH.11250"	"V20305"	"0,09"	""	""
"CH.11250"	"V29999"	"10"	""	""
"CH.11250"	"N28408"	"1,75"	""	""
"CH.11250"	"N04407"	"2,51"	""	""
"CH.11250"	"M201.0021"	"0,42"	""	""
"CH.11250"	"M201.0020"	"0,2"	""	""
"CH.11250"	"M9999"	"5"	""	""
"CH.11260"	"V20066"	"10"	""	""
"CH.11260"	"V20305"	"0,1"	""	""
"CH.11260"	"V29999"	"10"	""	""
"CH.11260"	"N28408"	"2,25"	""	""
"CH.11260"	"N04407"	"3,28"	""	""
"CH.11260"	"M201.0021"	"0,64"	""	""
"CH.11260"	"M201.0020"	"0,24"	""	""
"CH.11260"	"M9999"	"5"	""	""
"CH.11310"	"V20220"	"0,2"	""	""
"CH.11310"	"V20342"	"1"	""	""
"CH.11310"	"V20066"	"2"	""	""
"CH.11310"	"V20305"	"0,05"	""	""
"CH.11310"	"V29999"	"10"	""	""
"CH.11310"	"N28408"	"0,69"	""	""
"CH.11310"	"N04407"	"0,87"	""	""
"CH.11310"	"M201.0021"	"0,09"	""	""
"CH.11310"	"M201.0020"	"0,18"	""	""
"CH.11310"	"M9999"	"5"	""	""
"CH.11320"	"V20220"	"0,25"	""	""
"CH.11320"	"V20342"	"1"	""	""
"CH.11320"	"V20066"	"2,5"	""	""
"CH.11320"	"V20305"	"0,05"	""	""
"CH.11320"	"V29999"	"10"	""	""
"CH.11320"	"N28408"	"0,89"	""	""
"CH.11320"	"N04407"	"1,15"	""	""
"CH.11320"	"M201.0021"	"0,13"	""	""
"CH.11320"	"M201.0020"	"0,25"	""	""
"CH.11320"	"M9999"	"5"	""	""
"CH.11330"	"V20220"	"0,3"	""	""
"CH.11330"	"V20342"	"1,5"	""	""
"CH.11330"	"V20066"	"3"	""	""
"CH.11330"	"V20305"	"0,1"	""	""
"CH.11330"	"V29999"	"10"	""	""
"CH.11330"	"N28408"	"1,16"	""	""
"CH.11330"	"N04407"	"1,5"	""	""
"CH.11330"	"M201.0021"	"0,16"	""	""
"CH.11330"	"M201.0020"	"0,32"	""	""
"CH.11330"	"M9999"	"5"	""	""
"CH.11340"	"V20220"	"0,35"	""	""
"CH.11340"	"V20342"	"1,5"	""	""
"CH.11340"	"V20066"	"3,5"	""	""
"CH.11340"	"V20305"	"0,1"	""	""
"CH.11340"	"V29999"	"10"	""	""
"CH.11340"	"N28408"	"1,52"	""	""
"CH.11340"	"N04407"	"2,01"	""	""
"CH.11340"	"M201.0021"	"0,23"	""	""
"CH.11340"	"M201.0020"	"0,48"	""	""
"CH.11340"	"M9999"	"5"	""	""
"CH.11350"	"V20220"	"0,4"	""	""
"CH.11350"	"V20342"	"2"	""	""
"CH.11350"	"V20066"	"4"	""	""
"CH.11350"	"V20305"	"0,15"	""	""
"CH.11350"	"V29999"	"10"	""	""
"CH.11350"	"N28408"	"1,96"	""	""
"CH.11350"	"N04407"	"2,62"	""	""
"CH.11350"	"M201.0021"	"0,31"	""	""
"CH.11350"	"M201.0020"	"0,63"	""	""
"CH.11350"	"M9999"	"5"	""	""
"CH.11410"	"V20066"	"4"	""	""
"CH.11410"	"V20305"	"0,04"	""	""
"CH.11410"	"V29999"	"10"	""	""
"CH.11410"	"N28408"	"1,29"	""	""
"CH.11410"	"N04407"	"1,21"	""	""
"CH.11410"	"M201.0021"	"0,26"	""	""
"CH.11410"	"M201.0020"	"0,12"	""	""
"CH.11410"	"M9999"	"5"	""	""
"CH.11420"	"V20066"	"4"	""	""
"CH.11420"	"V20305"	"0,04"	""	""
"CH.11420"	"V29999"	"10"	""	""
"CH.11420"	"N28408"	"1,67"	""	""
"CH.11420"	"N04407"	"1,61"	""	""
"CH.11420"	"M201.0021"	"0,37"	""	""
"CH.11420"	"M201.0020"	"0,18"	""	""
"CH.11420"	"M9999"	"5"	""	""
"CH.11430"	"V20066"	"6"	""	""
"CH.11430"	"V20305"	"0,06"	""	""
"CH.11430"	"V29999"	"10"	""	""
"CH.11430"	"N28408"	"2,15"	""	""
"CH.11430"	"N04407"	"2,14"	""	""
"CH.11430"	"M201.0021"	"0,53"	""	""
"CH.11430"	"M201.0020"	"0,24"	""	""
"CH.11430"	"M9999"	"5"	""	""
"CH.11440"	"V20066"	"6"	""	""
"CH.11440"	"V20305"	"0,06"	""	""
"CH.11440"	"V29999"	"10"	""	""
"CH.11440"	"N28408"	"2,8"	""	""
"CH.11440"	"N04407"	"2,75"	""	""
"CH.11440"	"M201.0021"	"0,66"	""	""
"CH.11440"	"M201.0020"	"0,3"	""	""
"CH.11440"	"M9999"	"5"	""	""
"CH.11450"	"V20066"	"8"	""	""
"CH.11450"	"V20305"	"0,08"	""	""
"CH.11450"	"V29999"	"10"	""	""
"CH.11450"	"N28408"	"3,63"	""	""
"CH.11450"	"N04407"	"3,7"	""	""
"CH.11450"	"M201.0021"	"0,98"	""	""
"CH.11450"	"M201.0020"	"0,41"	""	""
"CH.11450"	"M9999"	"5"	""	""
"CH.21110"	"V20342"	"1"	""	""
"CH.21110"	"V20056"	"0,01"	""	""
"CH.21110"	"V20310"	"0,4"	""	""
"CH.21110"	"V20066"	"1"	""	""
"CH.21110"	"V20297"	"0,5"	""	""
"CH.21110"	"V29999"	"10"	""	""
"CH.21110"	"N28408"	"1,29"	""	""
"CH.21110"	"N04407"	"1,82"	""	""
"CH.21110"	"M201.0021"	"0,3"	""	""
"CH.21110"	"M201.0020"	"0,04"	""	""
"CH.21110"	"M9999"	"10"	""	""
"CH.21120"	"V20342"	"1"	""	""
"CH.21120"	"V20056"	"0,01"	""	""
"CH.21120"	"V20310"	"0,4"	""	""
"CH.21120"	"V20066"	"1"	""	""
"CH.21120"	"V20297"	"0,5"	""	""
"CH.21120"	"V29999"	"10"	""	""
"CH.21120"	"N28408"	"1,46"	""	""
"CH.21120"	"N04407"	"1,99"	""	""
"CH.21120"	"M201.0021"	"0,33"	""	""
"CH.21120"	"M201.0020"	"0,04"	""	""
"CH.21120"	"M9999"	"10"	""	""
"CH.21130"	"V20342"	"1"	""	""
"CH.21130"	"V20056"	"0,01"	""	""
"CH.21130"	"V20310"	"0,4"	""	""
"CH.21130"	"V20066"	"1"	""	""
"CH.21130"	"V20297"	"0,5"	""	""
"CH.21130"	"V29999"	"10"	""	""
"CH.21130"	"N28408"	"1,62"	""	""
"CH.21130"	"N04407"	"2,15"	""	""
"CH.21130"	"M201.0021"	"0,35"	""	""
"CH.21130"	"M201.0020"	"0,04"	""	""
"CH.21130"	"M9999"	"10"	""	""
"CH.21140"	"V20342"	"1,5"	""	""
"CH.21140"	"V20056"	"0,016"	""	""
"CH.21140"	"V20310"	"0,4"	""	""
"CH.21140"	"V20066"	"1"	""	""
"CH.21140"	"V20297"	"0,5"	""	""
"CH.21140"	"V29999"	"10"	""	""
"CH.21140"	"N28408"	"1,74"	""	""
"CH.21140"	"N04407"	"2,39"	""	""
"CH.21140"	"M201.0021"	"0,36"	""	""
"CH.21140"	"M201.0020"	"0,06"	""	""
"CH.21140"	"M9999"	"10"	""	""
"CH.21150"	"V20342"	"1,5"	""	""
"CH.21150"	"V20056"	"0,016"	""	""
"CH.21150"	"V20310"	"0,4"	""	""
"CH.21150"	"V20066"	"1"	""	""
"CH.21150"	"V20297"	"0,5"	""	""
"CH.21150"	"V29999"	"10"	""	""
"CH.21150"	"N28408"	"1,81"	""	""
"CH.21150"	"N04407"	"2,49"	""	""
"CH.21150"	"M201.0021"	"0,38"	""	""
"CH.21150"	"M201.0020"	"0,06"	""	""
"CH.21150"	"M9999"	"10"	""	""
"CH.21160"	"V20342"	"1,5"	""	""
"CH.21160"	"V20056"	"0,016"	""	""
"CH.21160"	"V20310"	"0,4"	""	""
"CH.21160"	"V20066"	"1"	""	""
"CH.21160"	"V20297"	"0,5"	""	""
"CH.21160"	"V29999"	"10"	""	""
"CH.21160"	"N28408"	"2,05"	""	""
"CH.21160"	"N04407"	"2,71"	""	""
"CH.21160"	"M201.0021"	"0,4"	""	""
"CH.21160"	"M201.0020"	"0,06"	""	""
"CH.21160"	"M9999"	"10"	""	""
"CH.21211"	"V20342"	"1,5"	""	""
"CH.21211"	"V20056"	"0,016"	""	""
"CH.21211"	"V20310"	"0,4"	""	""
"CH.21211"	"V20066"	"1"	""	""
"CH.21211"	"V20297"	"0,5"	""	""
"CH.21211"	"V29999"	"10"	""	""
"CH.21211"	"N28408"	"1,76"	""	""
"CH.21211"	"N04407"	"2,48"	""	""
"CH.21211"	"M201.0021"	"0,36"	""	""
"CH.21211"	"M201.0020"	"0,08"	""	""
"CH.21211"	"M9999"	"10"	""	""
"CH.21212"	"V20342"	"1,5"	""	""
"CH.21212"	"V20056"	"0,016"	""	""
"CH.21212"	"V20310"	"0,4"	""	""
"CH.21212"	"V20066"	"1"	""	""
"CH.21212"	"V20297"	"0,5"	""	""
"CH.21212"	"V29999"	"10"	""	""
"CH.21212"	"N28408"	"2,03"	""	""
"CH.21212"	"N04407"	"2,77"	""	""
"CH.21212"	"M201.0021"	"0,39"	""	""
"CH.21212"	"M201.0020"	"0,08"	""	""
"CH.21212"	"M9999"	"10"	""	""
"CH.21213"	"V20342"	"1,5"	""	""
"CH.21213"	"V20056"	"0,016"	""	""
"CH.21213"	"V20310"	"0,4"	""	""
"CH.21213"	"V20066"	"1"	""	""
"CH.21213"	"V20297"	"0,5"	""	""
"CH.21213"	"V29999"	"10"	""	""
"CH.21213"	"N28408"	"2,27"	""	""
"CH.21213"	"N04407"	"3,02"	""	""
"CH.21213"	"M201.0021"	"0,41"	""	""
"CH.21213"	"M201.0020"	"0,08"	""	""
"CH.21213"	"M9999"	"10"	""	""
"CH.21214"	"V20342"	"1,5"	""	""
"CH.21214"	"V20056"	"0,016"	""	""
"CH.21214"	"V20310"	"0,4"	""	""
"CH.21214"	"V20066"	"1"	""	""
"CH.21214"	"V20297"	"0,5"	""	""
"CH.21214"	"V29999"	"10"	""	""
"CH.21214"	"N28408"	"2,38"	""	""
"CH.21214"	"N04407"	"3,27"	""	""
"CH.21214"	"M201.0021"	"0,44"	""	""
"CH.21214"	"M201.0020"	"0,12"	""	""
"CH.21214"	"M9999"	"10"	""	""
"CH.21215"	"V20342"	"1,5"	""	""
"CH.21215"	"V20056"	"0,016"	""	""
"CH.21215"	"V20310"	"0,4"	""	""
"CH.21215"	"V20066"	"1"	""	""
"CH.21215"	"V20297"	"0,5"	""	""
"CH.21215"	"V29999"	"10"	""	""
"CH.21215"	"N28408"	"2,44"	""	""
"CH.21215"	"N04407"	"3,36"	""	""
"CH.21215"	"M201.0021"	"0,46"	""	""
"CH.21215"	"M201.0020"	"0,12"	""	""
"CH.21215"	"M9999"	"10"	""	""
"CH.21216"	"V20342"	"1,5"	""	""
"CH.21216"	"V20056"	"0,016"	""	""
"CH.21216"	"V20310"	"0,4"	""	""
"CH.21216"	"V20066"	"1"	""	""
"CH.21216"	"V20297"	"0,5"	""	""
"CH.21216"	"V29999"	"10"	""	""
"CH.21216"	"N28408"	"2,82"	""	""
"CH.21216"	"N04407"	"3,73"	""	""
"CH.21216"	"M201.0021"	"0,49"	""	""
"CH.21216"	"M201.0020"	"0,12"	""	""
"CH.21216"	"M9999"	"10"	""	""
"CH.21221"	"V20342"	"1"	""	""
"CH.21221"	"V20056"	"0,01"	""	""
"CH.21221"	"V20310"	"0,4"	""	""
"CH.21221"	"V20066"	"1"	""	""
"CH.21221"	"V20297"	"0,7"	""	""
"CH.21221"	"V29999"	"10"	""	""
"CH.21221"	"N28408"	"2,17"	""	""
"CH.21221"	"N04407"	"3,01"	""	""
"CH.21221"	"M201.0021"	"0,44"	""	""
"CH.21221"	"M201.0020"	"0,08"	""	""
"CH.21221"	"M9999"	"2"	""	""
"CH.21222"	"V20342"	"1"	""	""
"CH.21222"	"V20056"	"0,01"	""	""
"CH.21222"	"V20310"	"0,4"	""	""
"CH.21222"	"V20066"	"1"	""	""
"CH.21222"	"V20297"	"0,7"	""	""
"CH.21222"	"V29999"	"10"	""	""
